FID,Lat,Lng,Score,Q1,Q2,Q3,Q4,Q5,ashcan,awning,bicycle,booth,bridge,building,bulletin board,car,ceiling,chair,column,earth,fence,fountain,grass,lamp,minibike,mountain,person,pier,plant,railing,road,sculpture,sidewalk,signboard,sky,skyscraper,streetlight,tree,van,wall,water,windowpane
2910,47.610359,-122.308114,7.617957981,1,6.554185223,5.759954031,6.020626806,5.727441339,0,0,0,0,0,0.040852,0,0.104168,0,0,0,0.003055,0,0,0.034863,0,0,0,0,0,0.003316,0,0.300098,0,0.021785,0.000348,0.235664,0,0,0.252598,0,0.00118,0,0
2911,47.610357,-122.307714,8.557470883,1,7.389516958,7.093322026,5.604153053,6.48744824,0,0,0,0,0,0.062457,0,0.000535,0,0,0,0,0,0,0.019289,0,0,0,0.001156,0,0.082207,0,0.315832,0,0.010656,0,0.075391,0,0,0.41993,0,0.012492,0,0
2912,47.628446,-122.365496,8.642149997,1,7.382094325,6.516940352,5.554806291,6.050293306,0,0,0,0,0,7.40E-05,0,0.02307,0,0,0,0.010066,1.20E-05,0,0.036191,0,0,0,0,0,0.013875,0,0.332336,0,0.018,0.000906,0.122859,0,0,0.442609,0,0,0,0
2913,47.628588,-122.36587,7.747153791,1,5.712572799,5.670921209,5.819862501,5.229684265,0.003129,0,0,0,0,0.029438,0,0.00491,0,0,0,0.043273,0,0,0.051469,0,0,0.005527,0,0,0.001453,0,0.306902,0,0.002418,0.000582,0.24834,0,0,0.292688,0,0.002273,0,0
2914,47.659117,-122.330987,6.097630392,1,5.838186594,4.155481045,5.796460509,4.96570911,0.000969,0,0,0,0,0.060805,0,0.106133,0,0,0,0.025512,0.016703,0,0.025297,0,0,0,0,0,0.04234,0,0.229316,0,0.001512,0,0.298891,0,0,0.086324,0,0.03748,0,0
2915,47.659115,-122.330587,7.487113302,1,6.669521525,5.999235355,4.793514052,5.185688406,0,0,0,0,0,0.000105,0,0.002434,0,0,0,0.023707,0.002145,0,0.113562,0,0,0,0,0,0.015113,0,0.252172,0,0.000762,0,0.2275,0,0.000258,0.324793,0,0.005328,0,0
2916,47.605166,-122.306339,8.311147993,1,6.986410871,6.148702841,5.925772368,5.382375776,0,0,0,0,0,0,0,0.007148,0,0,0,0.019352,0,0,0.045863,0,0,0,0,0,0.058371,0,0.331352,0,0.015203,0.002648,0.144824,0,0.001469,0.346121,0,0,0,0
2917,47.605566,-122.306336,8.185786969,1,6.294393057,6.221500922,5.438464907,5.784161491,0.00327,0,0,0,0,0.054141,0,0.033281,0,0,0,0,0,0,0.067543,0,0,0,0,0,0.075602,0,0.268133,0,0,0,0.167906,0,0,0.322266,0,0.002156,0,0
2918,47.614821,-122.333167,6.604688626,1,3.484069887,3.919285346,4.915898672,5.016174948,0,0,0,0,0,0.30507,0,0.008688,0,0,0,0,0.020156,0,0,0,0,0,0.005629,0,0,0,0.391523,0,0.019668,0.003184,0.204027,0,5.10E-05,0.034449,0,0.005438,0,0
2919,47.615037,-122.333503,7.174143827,1,7.323855201,6.856759857,5.182702463,5.213940649,0,0,0.00859,0,0,0.306707,0,0.001562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323008,0,0.053523,2.70E-05,0.123391,0,0,0.165781,0,0,0,0
292,47.587738,-122.305428,3.973667371,1,2.837158844,3.757338436,4.598803249,4.348688751,0,0,0,0,0,0.115121,0,0.01043,0,0,0,0.013273,0.005137,0,0,0,0,0.000102,0,0,0.000766,0,0.425375,0,0,0,0.409586,0,8.00E-06,0.020203,0,0,0,0
2920,47.615254,-122.33384,6.535111967,1,5.564691104,5.786087547,5.467180268,5.95410628,0,0,0,0,0,0.431359,0,0.006855,0,0,0,0,0,0,0,0,0,0,0.001734,0,0.017367,0,0.348691,0,0.055727,0,0.09857,0,0,0.038418,0,5.50E-05,0,0
2921,47.615465,-122.33418,7.32335357,1,6.705492749,6.697757924,5.246336538,5.493443754,0.000441,0,0,0,0,0.31743,0,0.001754,0,0,0,0,0.03316,0,0,0,0,0,0.000484,0,0,0,0.326203,0,0.038062,0.00282,0.060871,0,0,0.212016,0,0.00348,0,0
2922,47.623538,-122.325314,5.719971331,1,3.988237981,4.022034896,4.483142946,4.594116632,0,0,0,0,0,0.303637,0,0.021434,0,0,0,0,0,0,0,0,0.009082,0,0,0,0.01468,0,0.346723,0,0.027945,0,0.244148,0,0,0.031527,0,0,0,0
2923,47.623938,-122.325316,7.496353907,1,5.674317689,4.957508703,5.620986465,5.648723257,0,0,0,0,0,0.271281,0,0.108895,0,0,0,0,0.002645,0,0.000539,0,0,0,0,0,0.018836,0,0.246164,0,0.045047,0.000781,0.200285,0,0.000906,0.104461,0,0,0,0
2924,47.627265,-122.309959,7.808573948,1,6.610711431,6.071575096,5.789317845,5.483523119,0,0,0,0,0,0.039387,0,0.091441,0,0,0,0,0,0,0.114129,0,0,0,0,0,0,0.003316,0.238691,0,0.005484,0,0.158898,0,0,0.330668,0,0.011141,0,0
2925,47.627665,-122.309954,7.896612809,1,6.856229302,5.924188466,5.904455595,5.25405452,0,0,0,0,0,0.016969,0,0.159312,0,0,0,0,0,0,0.039656,0,0,0,0,0,0.061406,0,0.232883,0,0,0,0.158152,0,0,0.287613,0,0.005125,0,0
2926,47.628065,-122.309948,6.041586539,1,5.316889346,4.956665272,6.317975561,5.441252588,0,0,0,0,0,0.068246,0,0.142617,0,0,0,0,0,0,0.073777,0,0,0.018855,0,0,0.025266,0,0.215762,0,0.001484,0,0.293098,0,0.003855,0.146031,0,0.003898,0,0
2927,47.588037,-122.315982,6.401930185,1,4.051044878,4.742221317,4.613103919,5.040545204,0,0,0,0,0,0.239566,0,0.014559,0,0,0,0.032371,0,0,2.00E-05,0,0,0,0,0,0.000445,0,0.404918,0,0.003176,0,0.211625,0,0,0.074699,0,0,0,0
2928,47.587637,-122.315984,6.273384204,1,5.298047276,4.391854478,5.645333668,5.297834714,0.009508,0,0,0,0,0.197574,0,0.109621,0,0,0,0.020512,0,0,0.001434,0,0,0,0,0,0.018457,0,0.235539,0,0.000332,0,0.251305,0,0.000609,0.068738,0.07102,0.005746,0,0
2929,47.587237,-122.315985,7.554529908,1,5.667466027,5.177319463,6.357242934,6.10313147,0.002832,0,0,0,0,0.14634,0,0.10157,0,0,0,0.04548,0.013934,0,0.003367,0,0,0,0,0,0.018195,0,0.246797,0,0.013172,0,0.242305,0,0,0.144035,0,0.021488,0,0
293,47.635603,-122.31358,7.974477733,1,7.371245861,6.30591236,5.346539276,5.802924431,0,0,0,0,0,0.019152,0,0.001652,0,0,0,0.001859,0.028426,0,0.001078,0,0,0,0,0,0.071551,0,0.390832,0,0.001219,0.006773,0.095676,0,0.000398,0.369309,0,0.002902,0,0
2930,47.600072,-122.331573,4.805443882,1,3.866050017,4.172197772,4.699675222,4.654287439,0,0,0,0,0,0.284078,0,0.018258,0,0,0,0,0,0,0,0,0,0,0.00241,0,0,0,0.302266,0,0.139699,0,0.250609,0,0.001047,0.001555,0,0,0,0
2931,47.634016,-122.355238,5.646999033,1,4.699097865,4.514151393,5.265009551,5.632548309,0,0,0,0,0,0.140156,0,0.004781,0,0,0,0.000855,0,0,0.003656,0,0,0,0,0,0.079699,0,0.379246,0,0.019523,0,0.288039,0,0,0.080859,0,0.000242,0,0
2932,47.634015,-122.354838,5.916758567,1,4.916638118,4.717501469,7.189479762,5.553830228,0,0,0,0,0,0.086652,0,0.002848,0,0,0,0,0.003281,0,0.074496,0,0,0,0,0,0.028336,0,0.227695,0,0.012488,0,0.269145,0,0,0.190457,0,0.007496,0,0
2933,47.60435,-122.314179,5.614276534,1,3.944273153,3.813964521,5.995438733,3.69155452,0,0,0,0,0,0.10407,0,0.001336,0,0,0,0.016852,0.019398,0,0.070465,0,0,0,0,0,0,0,0.330984,0,0.03393,0.002891,0.322438,0,0,0.086305,0,0.003383,0,0
2934,47.604348,-122.313779,4.181693391,1,3.464085874,3.931961059,5.397984623,5.099637681,0,0,0,0,0,0.062773,0,0.123258,0,0,0,0.002711,0.005098,0,0.094,0,0,0,0,0,0,0,0.25223,0,0,0.001379,0.396086,0,0.000547,0.060879,0,0,0,0
2935,47.604346,-122.313379,4.913892904,1,4.327395227,4.002008445,6.512198281,4.827251553,0.002418,0,0,0,0,0.042664,0,0.101941,0,0,0,0.00182,0.023535,0,0.103262,0,0,0,0,0,0.003609,0,0.202113,0,0,0.015598,0.322293,0,0.000309,0.158871,0,1.60E-05,0,0
2936,47.648676,-122.31792,7.086029489,1,5.889003083,4.879230087,5.9128556,4.951475155,0,0,0,0,0,0.009195,0,0.023277,0,0,0,0.014762,0.015379,0,0,0,0,0,0,0,0.11282,0,0.319227,0,0,0,0.233852,0,0,0.254395,0,0.002461,0,0
2937,47.600878,-122.319366,4.669536155,1,4.845837616,4.647999759,6.465321934,5.145143202,0,0,0,0,0,0.059805,0,0.011379,0,0,0,0,0.006504,0,0.163102,0,0,0,0,0,0.018277,0,0.261238,0,0.00218,0,0.313277,0,0,0.157141,0,0.000719,0,0
2938,47.600875,-122.318967,6.724998327,1,4.703665639,4.709735771,6.146303078,5.672446515,0,0,0,0,0,0.075969,0,0.11784,0,0,0,0,0.003426,0,0.030152,0,0,0,0,0,0,0,0.305301,0,0,0,0.256488,0,0,0.176918,0,0.027965,0,0
2939,47.600877,-122.318567,6.023544439,1,5.840470481,4.383140321,6.025843257,6.089113181,0,0,0,0,0,0.110266,0,0.157355,0,0,0,0,0.01091,0,0.029547,0,0,0,0,0,0,0,0.194379,0,0.003605,0,0.288547,0,0.004832,0.119566,0,0.072711,0,0
294,47.635604,-122.31318,7.065835349,1,6.217882837,5.033750339,6.102103469,5.62284334,0,0,0,0,0,0.117816,0,0.159359,0,0,0,0.033695,0.000371,0,0.00093,0,0,0,0,0,0.027039,0,0.174047,0,0.015852,0,0.285012,0,0,0.153293,0,8.20E-05,0,0
